"Semana","Sesión semanal","Sesión TP","Teoría de Probabilidades — tema","Énfasis exclusivo TP","Evaluación TP","Sesión ETD","Estadística para la Toma de Decisiones — tema","Énfasis exclusivo ETD","Evidencia ETD","Relación entre cursos","Alerta para no confundir","Acción docente sugerida"
7,1,13,"Definición, enfoques y axiomas de probabilidad","Enfoques y axiomas como fundamento de las reglas.","Formativa",13,"Distribuciones conjuntas, marginales y condicionales; independencia y covarianza","Dependencia y covarianza en contextos aplicados.","Tabla conjunta interpretada","COMÚN CON DESFASE — TP aún construye fundamentos","ETD trabaja conjuntas; TP apenas axiomatiza probabilidad.","Reutilizar contexto o base de datos, pero cambiar objetivo, profundidad, notación y producto."
7,2,14,"Probabilidad de eventos simples y compuestos","Demostración y uso de reglas para eventos compuestos.","Quiz 2 (5%)",14,"Combinaciones lineales de variables aleatorias y uso de simulación","Simulación como apoyo a la decisión.","Simulación comentada","COMÚN CON DESFASE — TP aún construye fundamentos","ETD simula; TP desarrolla reglas de eventos.","Reutilizar contexto o base de datos, pero cambiar objetivo, profundidad, notación y producto."
8,1,15,"Probabilidad condicional e independencia","Definición formal de condicional e independencia.","Formativa",15,"Modelo Bernoulli y modelo binomial: condiciones, cálculo e interpretación","Reconocer condiciones y aplicar binomial.","Práctica binomial","COMÚN CON DESFASE — TP aún construye fundamentos","ETD está en binomial; TP estudia condicional e independencia.","Reutilizar contexto o base de datos, pero cambiar objetivo, profundidad, notación y producto."
8,2,16,"Probabilidad total, Bayes, árboles y tablas","Probabilidad total y Bayes con árboles y tablas.","Formativa",16,"Modelo Poisson: tasas, conteos y aproximaciones","Tasas y conteos con Poisson.","Actividad 3 (4%)","COMÚN CON DESFASE — TP aún construye fundamentos","ETD aplica Poisson; TP cierra Bayes.","Reutilizar contexto o base de datos, pero cambiar objetivo, profundidad, notación y producto."
9,1,17,"Concepto y clasificación de variable aleatoria","Definición y clasificación matemática de variable aleatoria.","Formativa",17,"Variables continuas, densidad y probabilidad acumulada","Variables continuas desde su aplicación.","Ejercicios de densidad","COMÚN CON DESFASE — TP entra después en variables aleatorias","ETD entra en continuas; TP introduce variable aleatoria.","Reutilizar contexto o base de datos, pero cambiar objetivo, profundidad, notación y producto."
9,2,18,"Variable aleatoria discreta y función de probabilidad","Función de masa y acumulada discreta.","Formativa",18,"Distribución uniforme y exponencial en tiempos y procesos","Uniforme y exponencial en tiempos y procesos.","Cuadro de selección","COMÚN CON DESFASE — TP entra después en variables aleatorias","Ambos hablan de distribuciones, pero discreta en TP y continua en ETD.","Reutilizar contexto o base de datos, pero cambiar objetivo, profundidad, notación y producto."
10,1,19,"Variable continua: densidad y distribución acumulada","Densidad, acumulada e integración en variables continuas.","Formativa",19,"Distribución normal: estandarización, percentiles y probabilidades","Normal, percentiles e interpretación aplicada.","Práctica normal","COMÚN CON DESFASE — TP entra después en variables aleatorias","Ambos usan FDA/densidad; ETD ya aplica normal. Distinguir teoría de modelo.","Reutilizar contexto o base de datos, pero cambiar objetivo, profundidad, notación y producto."
10,2,20,"Valor esperado y varianza","Derivación y propiedades de esperanza y varianza.","Examen 2 (20%) + Laboratorio 2 (5%)",20,"Uso de software para seleccionar, calcular y validar modelos probabilísticos","Software para seleccionar y validar modelos.","Actividad 4 (4%)","COMÚN CON DESFASE — TP entra después en variables aleatorias","TP deriva momentos; ETD usa software y modelos. Cambiar profundidad y evidencia.","Reutilizar contexto o base de datos, pero cambiar objetivo, profundidad, notación y producto."
11,1,21,"Distribuciones conjuntas discretas","Distribuciones conjuntas discretas y marginalización.","Formativa",21,"Comparación de modelos y resolución de un caso integrador de mercadeo/negocios","Comparar modelos en un caso de mercadeo/negocios.","Recomendación ejecutiva","COMÚN CON DESFASE — TP entra después en variables aleatorias","TP formaliza conjuntas; ETD compara modelos en un caso.","Reutilizar contexto o base de datos, pero cambiar objetivo, profundidad, notación y producto."
11,2,22,"Distribuciones conjuntas continuas","Distribuciones conjuntas continuas e integración doble.","Quiz 3 (5%)",22,"Taller de síntesis: selección de modelo, supuestos e interpretación gerencial","Síntesis, supuestos e interpretación gerencial.","Taller acumulativo","COMÚN CON DESFASE — TP entra después en variables aleatorias","TP usa integración continua; ETD sintetiza selección de modelos.","Reutilizar contexto o base de datos, pero cambiar objetivo, profundidad, notación y producto."
12,1,23,"Covarianza, correlación e independencia","Covarianza, correlación e independencia probabilística.","Formativa",23,"Laboratorio y retroalimentación del módulo 3; avance analítico del proyecto","Laboratorio y avance del proyecto.","Avance 2 del proyecto","COMÚN CON DESFASE — TP entra después en variables aleatorias","La palabra correlación aparece en ambos: en TP es propiedad probabilística; en ETD es herramienta aplicada.","Reutilizar contexto o base de datos, pero cambiar objetivo, profundidad, notación y producto."
12,2,24,"Combinaciones lineales; esperanza y varianza condicional","Combinaciones lineales y momentos condicionales.","Formativa",24,"Segunda evaluación: módulo 3","Evaluar selección e interpretación de modelos.","Parcial 2 (20%)","COMÚN CON DESFASE — TP entra después en variables aleatorias","TP estudia momentos condicionales; ETD realiza evaluación. No mezclar rúbricas.","Reutilizar contexto o base de datos, pero cambiar objetivo, profundidad, notación y producto."
13,1,25,"Uniforme discreta, Bernoulli y binomial","Supuestos y cálculo de uniforme discreta, Bernoulli y binomial.","Formativa",25,"Muestreo probabilístico y no probabilístico; sesgo y representatividad","Sesgo, representatividad y diseño de muestreo.","Diseño muestral","COMÚN — modelos discretos, distinto énfasis","Ambos abordan binomial: TP enfatiza derivación/supuestos; ETD inicia muestreo.","Reutilizar contexto o base de datos, pero cambiar objetivo, profundidad, notación y producto."
13,2,26,"Hipergeométrica","Muestreo sin reemplazo mediante hipergeométrica.","Formativa",26,"Estimación puntual, error estándar, teorema del límite central y distribuciones muestrales","Distribuciones muestrales, error estándar y TLC.","Simulación TLC","DIFERENTE — TP profundiza hipergeométrica","Hipergeométrica en TP no equivale a distribución muestral en ETD.","Preparar ejemplos, archivos y rúbricas independientes; anunciar explícitamente el cambio de curso."
14,1,27,"Poisson y Pascal","Modelos Poisson y Pascal y sus condiciones.","Formativa",27,"Intervalos de confianza para media y proporción; interpretación para decisiones","Intervalos de confianza para decisiones.","Actividad 5 (4%)","COMÚN — Poisson; TP añade Pascal","Poisson en TP no equivale a intervalos de confianza en ETD.","Reutilizar contexto o base de datos, pero cambiar objetivo, profundidad, notación y producto."
14,2,28,"Uniforme continua y normal","Uniforme continua y normal con cálculo probabilístico.","Laboratorio 3 (5%)",28,"Hipótesis, errores tipo I y II, valor p y procedimiento de contraste","Contrastes, errores y valor p.","Formulación de hipótesis","COMÚN — modelos continuos, distinto momento","Normal en TP es modelo de probabilidad; en ETD sirve de puente a pruebas.","Reutilizar contexto o base de datos, pero cambiar objetivo, profundidad, notación y producto."
15,1,29,"Gamma y exponencial","Gamma y exponencial; tiempos de espera.","Formativa",29,"Pruebas para una y dos medias/proporciones; comunicación de conclusiones","Pruebas para medias/proporciones y comunicación.","Reporte de contraste","RELACIONADO — ETD ya está en inferencia","Exponencial/gamma en TP; pruebas en ETD: mantener ejemplos y notación separados.","Explicitar el puente conceptual al iniciar; verificar prerrequisitos sin adelantar el otro curso."
15,2,30,"Weibull y probabilidad de fallas","Weibull, confiabilidad y probabilidad de fallas.","Examen 3 (20%)",30,"Introducción y estimación del modelo de regresión lineal simple","Regresión lineal como modelo explicativo/predictivo.","Modelo inicial","DIFERENTE — confiabilidad vs regresión","Weibull y fallas en TP; regresión en ETD: cursos ya divergen claramente.","Preparar ejemplos, archivos y rúbricas independientes; anunciar explícitamente el cambio de curso."
16,1,31,"t de Student, chi-cuadrado y F de Snedecor","t, chi-cuadrado y F como distribuciones de probabilidad.","Formativa",31,"Validación, correlación, prueba F, predicción y presentación del proyecto aplicado","Validación, prueba F, predicción y proyecto.","Trabajo aplicado (20%)","RELACIONADO — distribuciones para inferencia vs aplicación inferencial","En TP t/chi²/F son distribuciones; en ETD F aparece como prueba del modelo.","Explicitar el puente conceptual al iniciar; verificar prerrequisitos sin adelantar el otro curso."
16,2,32,"Kernel, selección de modelos e integración del curso","Kernel, selección, ajuste y simulación de modelos.","Proyecto: entrega y sustentación (10%)",32,"Examen final: módulos 4 y 5; cierre y comunicación de aprendizajes","Evaluación y cierre de inferencia/regresión.","Examen final (20%)","DIFERENTE — cierre de modelos vs examen inferencial","Cierres distintos: modelación probabilística en TP; inferencia y regresión en ETD.","Preparar ejemplos, archivos y rúbricas independientes; anunciar explícitamente el cambio de curso."
